Name,ID,Correct Answers,Wrong Answers,Percentage,Rank
Bob,1002,16,19,45.71,1
Floyd,1032,16,19,45.71,1
Sophie,1019,15,20,42.86,3
Oscar,1015,15,20,42.86,3
Daniel,1030,14,21,40.00,5
Ivy,1035,13,22,37.14,6
Ben,1028,12,23,34.29,7
Uma,1021,10,25,28.57,8
Luna,1012,10,25,28.57,8
Sam,1045,9,26,25.71,10
Clara,1029,9,26,25.71,10
Yara,1025,9,26,25.71,10
Nina,1014,9,26,25.71,10
George,1007,9,26,25.71,10
Kyle,1011,8,27,22.86,15
Quincy,1043,8,27,22.86,15
Ryan,1018,8,27,22.86,15
Xander,1024,8,27,22.86,15
Paul,1042,7,28,20.00,19
Mia,1039,7,28,20.00,19
Fiona,1006,7,28,20.00,19
Zara,1026,7,28,20.00,19
Diana,1004,6,29,17.14,23
Anna,1027,6,29,17.14,23
Ethan,1005,4,31,11.43,25
Tom,1020,4,31,11.43,25
Hannah,1008,3,32,8.57,27
Paula,1016,3,32,8.57,27
Quinn,1017,3,32,8.57,27
Olivia,1041,3,32,8.57,27
Jack,1036,3,32,8.57,27
Charlie,1003,3,32,8.57,27
Alice,1001,2,33,5.71,33
Noah,1040,2,33,5.71,33
Kara,1037,2,33,5.71,33
Gina,1033,2,33,5.71,33
Elena,1031,2,33,5.71,33
Isaac,1009,2,33,5.71,33
Victor,1022,2,33,5.71,33
Julia,1010,1,34,2.86,40
Mike,1013,1,34,2.86,40
Rita,1044,1,34,2.86,40
Wendy,1023,1,34,2.86,40
Henry,1034,0,35,0.00,44
Liam,1038,0,35,0.00,44
